reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name,app_id,text_clean,sentimen
fb5bd0c7-d501-4944-95a3-649ae71e0d37,Pandawa Lima,https://play-lh.googleusercontent.com/a/ACg8ocKHImorHIiCaYlsQJIvOStMadUR-DaZ-t551iJ3hO093vo47Q=mo,apk ga guna masa buat bayar ga bisa tolong dong d perbaiki lagi,1,0,5.15,2025-12-18 14:18:35,"Hai Kak Pandawa, maaf atas kendalanya. Bisa diinfokan detail kendalanya respon yg muncul seperti apa agar kami bisa infokan solusinya segera. Saat ini mulai dilakukan penutupan BNI Mobile Banking, jadi sebagai pengganti dan untuk kemudahan bertransaksi pake wondr by BNI dengan fitur yang lebih canggih dan keren. Tks -CX Nadim-

",2025-12-18 15:40:39,5.15,bni,src.com.bni,aplikasi bayar tolong baik,netral
0262cba9-dfee-4641-a0f7-18d50a98c781,Aulia Lia,https://play-lh.googleusercontent.com/a-/ALV-UjUma3yNFxQ5ImRbl85bijcNjxjczRrvn37kTqmW4bc2jyrhN2Y,i love bni,5,0,5.16,2025-12-17 21:51:48,"Hai Kak Aulia, terima kasih atas review dan rating positifnya buat aplikasi BNI Mobile Banking. Kami senang dapat memberikan pelayanan terbaik untuk Kakak. Tks. -CX Nadim-

",2025-12-18 15:39:37,5.16,bni,src.com.bni,love bni,netral
e8dd093d-e4fd-44c3-9c78-b8b4083593c8,agus suwarno,https://play-lh.googleusercontent.com/a/ACg8ocJdKQfzP8dHo8i5MZIXRuuPTKA6_sEHO-RKMSiSuSSrwp_UbQ=mo,"mobile banking terlalu sering tidak bisa digunakan,tidak bisa melanjutkan transaksi",5,0,5.16,2025-12-17 15:48:28,"Hai Kak agus, terima kasih atas review dan rating positifnya buat aplikasi BNI Mobile Banking. Kami senang dapat memberikan pelayanan terbaik untuk Kakak. Tks. -CX Nadim-
",2025-12-18 15:38:42,5.16,bni,src.com.bni,mobile banking digunakantidak lanjut transaksi,netral
1c791f36-320d-4a1a-abe1-042e22027aa1,mamah Pinmill,https://play-lh.googleusercontent.com/a/ACg8ocLWd06-y8ZH1OP-tGm3Qeox7wEkbskIQ7p0aRqRtkSI0C8Pgg=mo,aplikasi jlk bgt masa setiap bulan harus ganti pasword transaksi lama lama bisa bingung sendiri karena aplikasi sering minta ganti pasword trus gk kaya aplikasi BCA sekali bikin selamanya digunaka,1,0,5.16,2025-12-17 14:51:12,"Hai Kak mamah, maaf atas kendalanya. Pastikan password transaksi kombinasi huruf dan angka minimal 8 maksimal 13 karakter. Kakak bisa reset password transaksi pada menu:
- Pengaturan
- Password Transaksi
- Lupa Password Transaksi.
Semoga berhasil. Tks -CX Nadim-",2025-12-18 13:04:27,5.16,bni,src.com.bni,aplikasi jlk banget ganti pasword transaksi bingung aplikasi ganti pasword kaya aplikasi bca bikin digunaka,netral
2dd7e17d-42d7-447a-b624-31daee04c47b,Anggit Kipli,https://play-lh.googleusercontent.com/a-/ALV-UjXeNMke2psyr_AvKlLVnZ2QXEMPm0zPV5wAurFslVWV8xLSlMU,PERTAHANKAN BNI MOBILE BANGKING,5,0,5.16,2025-12-17 14:38:13,"Hai Kak Anggit, terima kasih atas review dan rating positifnya buat aplikasi BNI Mobile Banking. Kami senang dapat memberikan pelayanan terbaik untuk Kakak. Tks. -CX Nadim-
",2025-12-18 15:37:55,5.16,bni,src.com.bni,tahan bni mobile bangking,netral
f735024b-24ac-4fec-b5c7-1d035a6e7030,Marnandi,https://play-lh.googleusercontent.com/a-/ALV-UjXwSyvUtTSSIblAknRabc1fxh9J19gQNc69ko28HKTetMeqleIZ,"masih banyak banget eror sering banget eror pas lagi mau beli sesuatu entah itu makanan dll mati lama"" saya min karena ini gimana kalau mau beli obat abis itu ada eror juga pas transaksi mati min orang nanti kalau ada masalah di sistem langsung diperbaiki kalau ada nasabah yang komplen fastrespon dong nanti pada ganti bank gmn kalian juga yang rugi mohon di lihat!!!!!!",3,0,5.16,2025-12-16 20:23:35,"Hai Kak Marnandi, maaf atas kendalanya. Bisa diinfokan detail kendalanya respon yg muncul seperti apa agar kami bisa infokan solusinya segera. Saat ini mulai dilakukan penutupan BNI Mobile Banking, jadi sebagai pengganti dan untuk kemudahan bertransaksi pake wondr by BNI dengan fitur yang lebih canggih dan keren. Tks -CX Nadim-

",2025-12-18 12:39:16,5.16,bni,src.com.bni,banget salah banget salah pas beli makan mati min gimana beli obat abis salah pas transaksi mati min orang sistem langsung baik nasabah komplen fastrespon ganti bank gmn rugi mohon lihat,positif
c2f40bf4-5adf-4051-a56f-8e854aea0872,Potassium Permanganate,https://play-lh.googleusercontent.com/a-/ALV-UjV0YvkgSf8vKTDcroWcszi3ow3O3JmvkDXfKov-4V9ybzRkjO1_,Jelek suka error,1,0,5.16,2025-12-16 14:30:13,"Hai Kak Potassium, maaf atas kendalanya. Bisa diinfokan detail kendalanya respon yg muncul seperti apa agar kami bisa infokan solusinya segera. Saat ini mulai dilakukan penutupan BNI Mobile Banking, jadi sebagai pengganti dan untuk kemudahan bertransaksi pake wondr by BNI dengan fitur yang lebih canggih dan keren. Tks -CX Nadim-",2025-12-18 12:35:05,5.16,bni,src.com.bni,jelek suka salah,netral
0a5303b0-cff1-4269-898d-91a5519ff6bb,Achmad Ali,https://play-lh.googleusercontent.com/a-/ALV-UjVa0ctdnNjg23wYIY2QBKARRbkFRnYvq0jtACXAP5H0kuKQvPUrig,Best Choice,5,0,5.16,2025-12-15 22:02:19,"Hai Kak Achmad, terima kasih atas review dan rating positifnya buat aplikasi BNI Mobile Banking. Kami senang dapat memberikan pelayanan terbaik untuk Kakak. Tks. -CX Nadim-
",2025-12-18 15:36:37,5.16,bni,src.com.bni,best choice,netral
3d9dbe36-7b96-482d-b5d1-f6ce885b504a,pipit lestari,https://play-lh.googleusercontent.com/a-/ALV-UjUbywa3Pa2Skydfqu3HFSJhXpW3UqnTz0pXFpu6yRn1k46Ir35z,pertahankan keamanan dan kualitas. 👍🏻,5,0,5.16,2025-12-15 19:39:01,"Hai Kak pipit, terima kasih atas review dan rating positifnya buat aplikasi BNI Mobile Banking. Kami senang dapat memberikan pelayanan terbaik untuk Kakak. Tks. -CX Nadim-
",2025-12-18 15:36:14,5.16,bni,src.com.bni,tahan aman kualitas,positif
9d7aef4f-95f2-4d12-b8a1-60fd432a270b,latihan fisik,https://play-lh.googleusercontent.com/a/ACg8ocJaFHZxNoFm5MIqbJu5zNksnjxgAtxgKowdRwqf62TA-5hyCA=mo,memuaskan,5,0,5.16,2025-12-15 13:50:25,"Hai Kak latihan, terima kasih atas review dan rating positifnya buat aplikasi BNI Mobile Banking. Kami senang dapat memberikan pelayanan terbaik untuk Kakak. Tks. -CX Nadim-

",2025-12-18 15:35:15,5.16,bni,src.com.bni,muas,netral
