reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name,app_id
cf990a21-ef91-4c2a-b2ea-cdc4943f25dd,Rioweol FCB,https://play-lh.googleusercontent.com/a/ACg8ocKOAQqtZ04ZPWZr1NQKymeNA1owfHOJ-RqBwH9TnxKzLDPnyw=mo,"aplikasi g jelas, knp saat transfer via dana selalu eror berkali kali di pencet gbisa",1,0,,2025-12-18 20:56:04,"Halo Sahabat @Rioweol FCB, mohon maaf atas ketidaknyamanannya. Kami mohon kesediaan Sahabat melakukan force close pada aplikasi terlebih dahulu, pastikan jaringan data yg digunakan stabil (tidak menggunakan jaringan Wifi) dan kami persilakan Sahabat utk mencoba kembali secara berkala. Tks~Raka",2025-12-18 20:58:26,,mandiri,id.bmri.livin
ca33d467-d717-479d-b458-326eaa8325ae,Aunur Jr,https://play-lh.googleusercontent.com/a/ACg8ocKSo3SyY4EfnOZW27DuwFbaAASunENkTQjYr29Zhfqx6ZjSXg=mo,kenapa dipersusah kalo mau transfer ke rekening lain contoh kaya transfer ke DANA susah. isi pulsa isi kuota juga kenapa ada potongan,3,0,,2025-12-18 20:29:00,"Halo Sahabat @ Aunur Jr , mohon maaf atas ketidaknyamannya. Untuk perihal kendala pada layanan Livin' by Mandiri, mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau dapat menghubungi layanan mandiri 14000 agar dapat dilakukan pengecekan. Tks~Charles",2025-12-18 20:39:42,,mandiri,id.bmri.livin
8f207c26-b05a-476a-9869-09882af11de9,Jaka Santosa,https://play-lh.googleusercontent.com/a-/ALV-UjWkYaZah0gy5tcNVs3co0202YrM470Wfv-tCkaJLgshJ0Wj3Fg,sangat membantu saat mobile,5,0,,2025-12-18 20:28:55,"Hi Sahabat @Jaka Santosa, terima kasih atas review yang telah diberikan. Semoga terus menikmati kemudahan dan kenyamanan dalam menggunakan Livin' by Mandiri ya. Daftarkan transaksi secepat kilat pada menu Quick Pick untuk diakses pada halaman Login atau Beranda. Yuk coba sekarang. Tks~Mandala",2025-12-18 20:32:11,,mandiri,id.bmri.livin
55dc9e75-85b1-4982-bf16-b68f92a19b2c,Solza Mad,https://play-lh.googleusercontent.com/a/ACg8ocKFUbWeIjbHrVezP7pdqJNblj5iHKXI5dj6U7CisB44Oljh5g=mo,kurang bagus pemakaian 1 bulan udah update Tf ke bank lain juga lumayan,1,0,3.1.0,2025-12-18 20:25:20,"Hi Sahabat @Solza Mad, mohon maaf atas ketidaknyamanannya. Terimakasih atas saran dan masukan yang diberikan, perihal tsb akan menjadi masukan bagi kami untuk pengembangan aplikasi kedepannya dan meningkatkan kualitas layanan Livin' by Mandiri. Tks~Mandala",2025-12-18 20:29:35,3.1.0,mandiri,id.bmri.livin
7c128d89-2041-41b5-93dd-eaba55dbe60f,Sapta Praja Hefiz,https://play-lh.googleusercontent.com/a/ACg8ocLMj0bmzvkjAD5m47owiMhXYkpLoYNEaeOA1RTR4cJg99RTvg=mo,apk nya sangat berguna dan sangat penting,5,0,,2025-12-18 20:21:25,"Halo Sahabat @Sapta Praja Hefiz, terima kasih atas review yang telah diberikan. Semoga dapat terus menikmati kemudahan dan kenyamanan dalam menggunakan Livin' by Mandiri ya. Daftarkan transaksi secepat kilat pada menu Quick Pick untuk diakses pada halaman Login atau Beranda. Yuk coba sekarang. Tks~Carlos",2025-12-18 20:31:48,,mandiri,id.bmri.livin
71374133-1507-4d06-880c-db4e7c40eb43,VEGA STIAWAN,https://play-lh.googleusercontent.com/a/ACg8ocLsrYEmIQQym7YfXopjTknyer5HKq33w_cZqxeoLhkbv2l8hA=mo,aplikasi pinjaman di livin gk taunya deposit mau di apain tuh uang dari pemerintah apa pencucian uang😂 kalah sma BRI byk pinjaman,1,0,1.8.0,2025-12-18 19:59:36,"Halo Sahabat @VEGA STIAWAN, dapat kami infokan utk pengajuan Kredit Serbaguna Mandiri (KSM) melalui layanan Livin' by Mandiri hanya dikhususkan bagi nasabah yang mendapat penawaran dari Bank Mandiri ya. Tks~Raka",2025-12-18 20:29:39,1.8.0,mandiri,id.bmri.livin
34183a98-9d39-4a0a-9765-f52b3fd22d1e,Lusiana Febriani,https://play-lh.googleusercontent.com/a/ACg8ocKRvp6vsXfo_CBHR5t1FzSjVd0SMAC0j7Sez7uFV6SIVaBT0A=mo,"sangat membantu, ktika tarnasfer tdk jauh2 pergi ke Atm",5,0,3.1.0,2025-12-18 19:41:27,Terima kasih atas review yang telah diberikan Sahabat @Lusiana Febriani. Semoga dapat terus menikmati kemudahan dan kenyamanan dalam menggunakan Livin' by Mandiri ya. Daftarkan transaksi secepat kilat pada menu Quick Pick untuk diakses pada halaman Login atau Beranda. Yuk coba sekarang. Tks~Alza,2025-12-18 19:42:47,3.1.0,mandiri,id.bmri.livin
9ae24725-3f1f-4bbb-911e-1e6eba89cfd8,andydedy hasdar,https://play-lh.googleusercontent.com/a/ACg8ocL01aTL6r2lHcEGvO7jnfwDwjvRwQqv4GbF2D9GKLSmw4Z02g=mo,bagus pakai menabung,5,0,3.1.0,2025-12-18 19:38:56,"Halo Sahabat @andydedy hasdar, terima kasih atas review yang telah diberikan. Semoga terus menikmati kemudahan dan kenyamanan dalam menggunakan Livin' by Mandiri ya. Daftarkan transaksi secepat kilat pada menu Quick Pick untuk diakses pada halaman Login atau Beranda. Yuk coba sekarang. Tks~Ervan",2025-12-18 19:41:19,3.1.0,mandiri,id.bmri.livin
e36c13bc-efec-44dc-8592-47170ae14376,Scott Clarke,https://play-lh.googleusercontent.com/a-/ALV-UjU8pYrt1rIwYKBrePfjoGrESffw_N57CUmoNk6868-awUcH_w,saya belum punya kartu keredit/debit.jadi saya daftar karena blum punya rekening. tapi setelah selesai verifikasi KTP selalu di suruh login lewat kartu keredit/debit? lagi ngelucu apa gimana,1,0,3.2.0,2025-12-18 19:13:44,"Hai Sahabat @Scott Clarke, mohon maaf atas ketidaknyamanannya. Terkait kendala Sahabat mohon untuk dapat mengirimkan email ke mandiricare@bankmandiri.co.id atau menghubungi Mandiri Call 14000 lalu tekan 2 agar dapat dilakukan pengecekan. Tks~Divia",2025-12-18 19:18:03,3.2.0,mandiri,id.bmri.livin
1427af84-0286-4b82-981a-633efd871866,hery hardy,https://play-lh.googleusercontent.com/a-/ALV-UjW-SHQ0a8lAxtzWkbx1d1aVbipsjPTIYziWkVr3wfdGdyDknNsX,bagus cepat dan modern,5,0,,2025-12-18 19:11:24,"Halo Sahabat @hery hardy, terima kasih atas review yang telah diberikan. Semoga dapat terus menikmati kemudahan dan kenyamanan dalam menggunakan Livin' by Mandiri ya. Daftarkan transaksi secepat kilat pada menu Quick Pick untuk diakses pada halaman Login atau Beranda. Yuk coba sekarang. Tks~Carlos",2025-12-18 19:30:14,,mandiri,id.bmri.livin
1ccae9f6-41be-48d2-bef4-0ca87436b52f,Erwin Erwin,https://play-lh.googleusercontent.com/a/ACg8ocLKm-Nyzotf3Akv9bbG-9ggo3CPf7IlB1ksavAmPW9daBvAZw=mo,layanan baik cuma sayang mau di-update terus. ngrepotin,2,0,3.2.0,2025-12-18 19:11:00,"Halo Sahabat @Erwin Erwin, mohon maaf atas ketidaknyamanannya. Terimakasih atas saran dan masukan yang diberikan, perihal tsb akan menjadi masukan bagi kami untuk pengembangan aplikasi kedepannya dan meningkatkan kualitas layanan Livin' by Mandiri. Tks~Raka",2025-12-18 19:13:40,3.2.0,mandiri,id.bmri.livin
